CustomerID,Segment,churn_prediction,marketing_action
267,At-Risk,1,Reactivation Email + Big Discount
268,Recent Low-Spenders,0,Upsell: Bundle Offer
269,At-Risk,1,Reactivation Email + Big Discount
270,Recent Low-Spenders,0,Upsell: Bundle Offer
271,At-Risk,1,Reactivation Email + Big Discount
272,At-Risk,1,Reactivation Email + Big Discount
273,At-Risk,1,Reactivation Email + Big Discount
274,At-Risk,1,Reactivation Email + Big Discount
275,Recent Low-Spenders,0,Upsell: Bundle Offer
276,At-Risk,1,Reactivation Email + Big Discount
277,Recent Low-Spenders,0,Upsell: Bundle Offer
278,At-Risk,1,Reactivation Email + Big Discount
279,At-Risk,1,Reactivation Email + Big Discount
280,At-Risk,1,Reactivation Email + Big Discount
281,At-Risk,1,Reactivation Email + Big Discount
282,Recent Low-Spenders,0,Upsell: Bundle Offer
283,Recent Low-Spenders,0,Upsell: Bundle Offer
284,At-Risk,1,Reactivation Email + Big Discount
285,Recent Low-Spenders,0,Upsell: Bundle Offer
286,Recent Low-Spenders,0,Upsell: Bundle Offer
287,Recent Low-Spenders,0,Upsell: Bundle Offer
288,Recent Low-Spenders,0,Upsell: Bundle Offer
289,Recent Low-Spenders,0,Upsell: Bundle Offer
290,Recent Low-Spenders,0,Upsell: Bundle Offer
291,At-Risk,1,Reactivation Email + Big Discount
292,At-Risk,1,Reactivation Email + Big Discount
293,Recent Low-Spenders,0,Upsell: Bundle Offer
294,Loyal Customers,0,Loyalty Bonus + Referral Code
295,At-Risk,1,Reactivation Email + Big Discount
296,Recent Low-Spenders,0,Upsell: Bundle Offer
297,Recent Low-Spenders,0,Upsell: Bundle Offer
298,At-Risk,1,Reactivation Email + Big Discount
299,Recent Low-Spenders,0,Upsell: Bundle Offer
300,Recent Low-Spenders,0,Upsell: Bundle Offer
301,At-Risk,1,Reactivation Email + Big Discount
302,At-Risk,1,Reactivation Email + Big Discount
303,Recent Low-Spenders,0,Upsell: Bundle Offer
304,At-Risk,1,Reactivation Email + Big Discount
305,At-Risk,1,Reactivation Email + Big Discount
306,At-Risk,1,Reactivation Email + Big Discount
307,Loyal Customers,0,Loyalty Bonus + Referral Code
308,Recent Low-Spenders,0,Upsell: Bundle Offer
309,Recent Low-Spenders,0,Upsell: Bundle Offer
310,Recent Low-Spenders,0,Upsell: Bundle Offer
311,Recent Low-Spenders,0,Upsell: Bundle Offer
312,Recent Low-Spenders,0,Upsell: Bundle Offer
313,At-Risk,1,Reactivation Email + Big Discount
314,Recent Low-Spenders,0,Upsell: Bundle Offer
315,At-Risk,1,Reactivation Email + Big Discount
316,Recent Low-Spenders,0,Upsell: Bundle Offer
317,Recent Low-Spenders,0,Upsell: Bundle Offer
318,At-Risk,1,Reactivation Email + Big Discount
319,At-Risk,1,Reactivation Email + Big Discount
320,At-Risk,1,Reactivation Email + Big Discount
321,Recent Low-Spenders,0,Upsell: Bundle Offer
322,Loyal Customers,0,Loyalty Bonus + Referral Code
323,At-Risk,1,Reactivation Email + Big Discount
324,Recent Low-Spenders,0,Upsell: Bundle Offer
325,Recent Low-Spenders,0,Upsell: Bundle Offer
326,Recent Low-Spenders,0,Upsell: Bundle Offer
327,Recent Low-Spenders,0,Upsell: Bundle Offer
328,Recent Low-Spenders,0,Upsell: Bundle Offer
329,Recent Low-Spenders,0,Upsell: Bundle Offer
330,Recent Low-Spenders,0,Upsell: Bundle Offer
331,Recent Low-Spenders,0,Upsell: Bundle Offer
332,Loyal Customers,0,Loyalty Bonus + Referral Code
333,Recent Low-Spenders,0,Upsell: Bundle Offer
334,Recent Low-Spenders,0,Upsell: Bundle Offer
335,At-Risk,1,Reactivation Email + Big Discount
336,At-Risk,1,Reactivation Email + Big Discount
337,At-Risk,1,Reactivation Email + Big Discount
338,Recent Low-Spenders,0,Upsell: Bundle Offer
339,At-Risk,1,Reactivation Email + Big Discount
340,At-Risk,1,Reactivation Email + Big Discount
341,At-Risk,1,Reactivation Email + Big Discount
342,At-Risk,1,Reactivation Email + Big Discount
343,Recent Low-Spenders,0,Upsell: Bundle Offer
344,At-Risk,1,Reactivation Email + Big Discount
345,Recent Low-Spenders,0,Upsell: Bundle Offer
